duration,pdays,emp.var.rate,euribor3m,nr.employed,y
43.0,999.0,1.1,4.857,5191.0,0
294.0,999.0,1.1,4.857,5191.0,0
120.0,3.0,-2.9,0.884,5076.2,0
354.0,999.0,-1.8,1.281,5099.1,0
168.0,999.0,1.4,4.964,5228.1,0
956.0,999.0,1.4,4.864,5228.1,1
177.0,999.0,1.1,4.859,5191.0,0
204.0,999.0,1.4,4.961,5228.1,0
253.0,999.0,-1.8,1.41,5099.1,0
431.0,999.0,-1.8,0.654,5008.7,0
225.0,999.0,1.4,4.964,5228.1,0
690.0,999.0,1.4,4.96,5228.1,0
102.0,999.0,-1.8,1.25,5099.1,0
180.0,999.0,1.1,4.856,5191.0,0
610.0,999.0,-1.8,1.281,5099.1,1
163.0,999.0,1.4,4.866,5228.1,0
174.0,999.0,1.4,4.963,5228.1,0
72.0,999.0,1.4,4.961,5228.1,0
462.0,999.0,1.4,4.963,5228.1,0
457.0,999.0,-0.1,4.12,5195.8,0
62.0,999.0,1.1,4.857,5191.0,0
73.0,999.0,-1.8,1.313,5099.1,0
283.0,999.0,-1.8,1.266,5099.1,0
53.0,999.0,-0.1,4.153,5195.8,0
498.0,999.0,1.4,4.962,5228.1,0
116.0,999.0,1.4,4.966,5228.1,0
121.0,999.0,-1.8,1.334,5099.1,0
46.0,999.0,1.4,4.96,5228.1,0
98.0,999.0,1.4,4.963,5228.1,0
65.0,999.0,-1.8,1.25,5099.1,0
240.0,999.0,1.4,4.964,5228.1,0
160.0,999.0,-1.8,1.334,5099.1,0
186.0,999.0,1.1,4.855,5191.0,0
88.0,999.0,1.4,4.961,5228.1,0
627.0,999.0,1.1,4.859,5191.0,0
234.0,999.0,-1.8,1.281,5099.1,0
933.0,999.0,1.4,4.96,5228.1,0
90.0,999.0,-0.1,4.153,5195.8,0
33.0,999.0,1.4,4.961,5228.1,0
304.0,999.0,-1.7,0.896,4991.6,1
391.0,999.0,1.1,4.86,5191.0,0
86.0,999.0,1.4,4.865,5228.1,0
208.0,999.0,1.4,4.962,5228.1,0
38.0,999.0,-1.8,1.334,5099.1,0
235.0,999.0,1.4,4.966,5228.1,0
172.0,999.0,1.4,4.864,5228.1,0
339.0,999.0,1.4,4.963,5228.1,0
229.0,999.0,1.1,4.858,5191.0,0
42.0,999.0,1.4,4.96,5228.1,0
147.0,999.0,-1.8,1.334,5099.1,0
217.0,999.0,-1.8,1.327,5099.1,0
112.0,999.0,1.4,4.964,5228.1,0
813.0,999.0,-1.8,1.313,5099.1,1
157.0,999.0,-1.8,1.281,5099.1,0
74.0,999.0,1.1,4.86,5191.0,0
86.0,999.0,-3.4,0.74,5017.5,0
318.0,999.0,-1.7,0.702,4991.6,1
454.0,999.0,-0.1,4.076,5195.8,0
355.0,999.0,1.4,4.967,5228.1,0
155.0,999.0,-1.8,1.291,5099.1,0
95.0,999.0,-1.8,1.27,5099.1,0
43.0,999.0,-1.8,1.344,5099.1,0
240.0,999.0,-2.9,0.873,5076.2,0
192.0,999.0,1.4,4.961,5228.1,0
113.0,999.0,-1.7,0.899,4991.6,1
291.0,999.0,1.4,4.958,5228.1,0
266.0,999.0,1.1,4.855,5191.0,0
850.0,999.0,1.1,4.86,5191.0,0
143.0,999.0,1.1,4.855,5191.0,0
178.0,999.0,-1.8,1.405,5099.1,0
246.0,999.0,-1.8,1.291,5099.1,0
155.0,999.0,1.1,4.86,5191.0,0
130.0,999.0,-1.8,1.354,5099.1,0
643.0,999.0,-3.4,0.714,5017.5,0
